2022-11-18 09:23:48 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map_downloaded.png
2022-11-18 09:38:12 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:12 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:12 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:12 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:12 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:13 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:13 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:13 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:13 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:13 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:14 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:14 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:14 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:14 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:14 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:15 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:15 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:15 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:15 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:15 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:16 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:16 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:16 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:16 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:16 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:17 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:17 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:17 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:17 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:17 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:18 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:18 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:18 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:18 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:18 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:19 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
