2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:15 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:16 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:17 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:18 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:19 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:20 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:21 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:22 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:23 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:24 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:25 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:26 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:18:27 [LCM] CONNECT -> INIT START
2022-12-02 09:19:01 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:19:32 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:20:06 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:20:44 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:21:01 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:21:19 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:21:33 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:22:04 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:24:14 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:25:03 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:27:16 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:27:57 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:28:11 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:28:36 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:29:29 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:29:46 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:29:55 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:29:57 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:29:57 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:10 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:11 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:12 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:13 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:14 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:18 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:19 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:30:21 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:36:40 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:36:40 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:36:48 [LCM] SEND COMMAND : MOVE RESUME
2022-12-02 09:36:59 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:37:19 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:37:20 [LCM] SEND COMMAND : MOVE PAUSE
